No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
1,P2,DPBOM000000791,도장,F1,D1,,D1,2014-06-15,2014-04-21
2,P2,DPBOM000000792,도장,F1,D1,,D1,2014-05-28,2014-03-31
3,P2,DPBOM000000003,가공,F2,D2,D6,D3,2014-03-24,2014-03-16
4,P2,DPBOM000000004,족장,F3,D3,,D4,2014-03-19,2014-03-16
5,P2,DPBOM000000793,재마킹,F4,D6,,D3,2014-03-19,2014-03-04
7,P2,DPBOM000000005,공작,F2,D4,D6,D3,2014-03-19,2014-03-11
8,P2,DPBOM000000006,철의장,F2,D5,D6,D3,2014-01-26,2013-12-16
9,P2,DPBOM000000007,가공,F2,D2,D6,D3,2014-02-27,2014-02-18
10,P2,DPBOM000000009,가공,F4,D7,,D3,2014-02-25,2014-02-12
11,P2,DPBOM000000795,도장,F1,D1,,D1,2014-05-13,2014-03-31
12,P2,DPBOM000000796,가공,F2,D2,D6,D3,2014-03-25,2014-03-17
13,P2,DPBOM000000797,재마킹,F4,D6,,D3,2014-03-26,2014-03-10
15,P2,DPBOM000000799,가공,F4,D7,,D3,2014-03-25,2014-03-13
16,P2,DPBOM000000800,의장,F1,D8,,D1,2014-03-20,2014-01-23
17,P2,DPBOM000000801,공작,F2,D4,D6,D3,2014-03-26,2014-03-17
18,P2,DPBOM000000802,철의장,F2,D5,D6,D3,2014-02-10,2013-12-16
19,P2,DPBOM000000803,가공,F2,D2,D6,D3,2014-03-09,2014-03-03
20,P2,DPBOM000000804,가공,F4,D7,,D3,2014-03-09,2014-02-24
21,P2,DPBOM000000805,가공,F4,D7,,D3,2014-03-05,2014-02-24
22,P2,DPBOM000000806,도장,F1,D1,,D1,2014-06-22,2014-03-31
23,P2,DPBOM000000010,가공,F2,D2,D6,D3,2014-04-03,2014-03-27
24,P2,DPBOM000000011,족장,F3,D3,,D4,2014-03-27,2014-03-16
25,P2,DPBOM000000807,재마킹,F4,D6,,D3,2014-03-27,2014-03-16
26,P2,DPBOM000000012,의장,F1,D8,,D1,2014-03-23,2014-01-23
27,P2,DPBOM000000013,공작,F2,D4,D6,D3,2014-03-27,2014-03-17
28,P2,DPBOM000000014,철의장,F2,D5,D6,D3,2014-02-17,2013-12-16
29,P2,DPBOM000000015,가공,F2,D2,D6,D3,2014-03-13,2014-03-06
30,P2,DPBOM000000017,가공,F4,D7,,D3,2014-03-13,2014-03-03
31,P2,DPBOM000000018,가공,F2,D2,D6,D3,2014-03-06,2014-02-24
32,P2,DPBOM000000020,가공,F4,D7,,D3,2014-03-06,2014-02-27
