No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
1,P3,DPBOM000001233,족장,F3,D3,,D4,2014-09-21,2014-10-12
2,P3,DPBOM000001234,족장,F3,D3,,D4,2014-07-30,2014-10-12
3,P3,DPBOM000001235,족장,F3,D3,,D4,2014-08-20,2014-10-12
4,P3,DPBOM000001236,족장,F3,D3,,D4,2014-09-04,2014-10-12
5,P3,DPBOM000001237,족장,F3,D3,,D4,2014-09-11,2014-10-12
6,P3,DPBOM000000792,도장,F1,D1,,D1,2014-08-20,2014-07-21
7,P3,DPBOM000000003,가공,F2,D2,,D3,2014-06-15,2014-06-15
8,P3,DPBOM000000004,족장,F3,D3,D6,D4,2014-06-16,2014-06-16
9,P3,DPBOM000000793,재마킹,F4,D6,,D3,2014-06-16,2014-06-03
10,P3,DPBOM000001238,의장,F1,D8,,D1,2014-06-04,2014-05-29
11,P3,DPBOM000000005,공작,F2,D4,,D3,2014-06-16,2014-06-16
12,P3,DPBOM000001239,철의장,F8,D5,,D3,2014-04-22,2014-04-13
13,P3,DPBOM000000006,철의장,F2,D5,,D3,2014-04-22,2014-04-22
14,P3,DPBOM000001240,가공,F2,D2,,D3,2014-06-22,2014-06-22
16,P3,DPBOM000001242,가공,F4,D7,,D3,2014-06-22,2014-06-19
17,P3,DPBOM000000007,가공,F2,D2,,D3,2014-05-29,2014-05-29
19,P3,DPBOM000000009,가공,F4,D7,,D3,2014-05-20,2014-05-20
20,P3,DPBOM000000806,도장,F1,D1,,D1,2014-10-06,2014-07-21
21,P3,DPBOM000000010,가공,F2,D2,,D3,2014-08-20,2014-08-19
22,P3,DPBOM000000807,재마킹,F4,D6,,D3,2014-08-19,2014-07-24
24,P3,DPBOM000001245,가공,F4,D7,,D3,2014-08-20,2014-08-10
25,P3,DPBOM000000012,의장,F1,D8,,D1,2014-08-13,2014-05-29
26,P3,DPBOM000000013,공작,F2,D4,,D3,2014-08-19,2014-08-18
27,P3,DPBOM000000014,철의장,F2,D5,,D3,2014-07-01,2014-05-18
28,P3,DPBOM000000015,가공,F2,D2,,D3,2014-08-07,2014-08-06
30,P3,DPBOM000000017,가공,F4,D7,,D3,2014-08-07,2014-07-27
31,P3,DPBOM000000018,가공,F2,D2,,D3,2014-08-12,2014-08-10
33,P3,DPBOM000000020,가공,F4,D7,,D3,2014-08-12,2014-08-03
34,P3,DPBOM000001248,가공,F2,D2,,D3,2014-08-12,2014-08-10
36,P3,DPBOM000001250,가공,F4,D7,,D3,2014-08-12,2014-08-03
37,P3,DPBOM000001251,가공,F2,D2,,D3,2014-07-29,2014-07-28
38,P3,DPBOM000000808,도장,F1,D1,,D1,2014-08-21,2014-07-21
39,P3,DPBOM000000809,가공,F2,D2,,D3,2014-06-18,2014-06-18
40,P3,DPBOM000000810,족장,F3,D3,D6,D4,2014-06-22,2014-06-16
41,P3,DPBOM000000811,재마킹,F4,D6,,D3,2014-06-22,2014-06-05
43,P3,DPBOM000001252,가공,F4,D7,,D3,2014-06-18,2014-05-29
44,P3,DPBOM000000813,의장,F1,D8,,D1,2014-06-16,2014-05-29
45,P3,DPBOM000000814,공작,F2,D4,,D3,2014-06-22,2014-06-17
46,P3,DPBOM000000815,철의장,F2,D5,,D3,2014-04-10,2014-03-25
47,P3,DPBOM000000816,가공,F2,D2,,D3,2014-05-26,2014-05-26
48,P3,DPBOM000000821,도장,F1,D1,,D1,2014-10-14,2014-07-21
49,P3,DPBOM000000025,가공,F2,D2,,D3,2014-08-10,2014-08-07
50,P3,DPBOM000000026,족장,F3,D3,D6,D4,2014-08-13,2014-06-16
51,P3,DPBOM000000822,재마킹,F4,D6,,D3,2014-08-12,2014-07-20
52,P3,DPBOM000000027,의장,F1,D8,,D1,2014-07-30,2014-05-29
53,P3,DPBOM000000028,공작,F2,D4,,D3,2014-08-12,2014-08-11
54,P3,DPBOM000000029,철의장,F2,D5,,D3,2014-06-16,2014-05-08
55,P3,DPBOM000000030,가공,F2,D2,,D3,2014-07-24,2014-07-24
56,P3,DPBOM000000033,가공,F2,D2,,D3,2014-07-28,2014-07-24
57,P3,DPBOM000001253,가공,F2,D2,,D3,2014-07-29,2014-07-24
59,P3,DPBOM000001255,가공,F4,D7,,D3,2014-07-29,2014-07-20
60,P3,DPBOM000001256,가공,F2,D2,,D3,2014-07-22,2014-07-13
61,P3,DPBOM000001257,도장,F1,D1,,D1,2014-10-14,2014-07-21
62,P3,DPBOM000001258,가공,F2,D2,,D3,2014-07-09,2014-07-07
63,P3,DPBOM000001259,공작,F2,D4,,D3,2014-07-31,2014-07-28
64,P3,DPBOM000001260,철의장,F2,D5,,D3,2014-05-27,2014-04-24
65,P3,DPBOM000001261,도장,F1,D1,,D1,2014-10-14,2014-07-21
66,P3,DPBOM000001262,가공,F2,D2,,D3,2014-07-10,2014-07-09
67,P3,DPBOM000001263,재마킹,F4,D6,,D3,2014-08-03,2014-06-05
69,P3,DPBOM000001265,가공,F4,D7,,D3,2014-07-10,2014-06-23
70,P3,DPBOM000001266,공작,F2,D4,,D3,2014-08-03,2014-07-28
71,P3,DPBOM000001267,철의장,F2,D5,,D3,2014-05-28,2014-04-24
72,P3,DPBOM000000824,도장,F1,D1,,D1,2014-08-11,2014-07-21
73,P3,DPBOM000000043,가공,F2,D2,,D3,2014-07-08,2014-07-01
74,P3,DPBOM000000044,족장,F3,D3,D6,D4,2014-06-30,2014-05-22
75,P3,DPBOM000000045,재마킹,F4,D6,,D3,2014-06-30,2014-06-19
77,P3,DPBOM000000046,가공,F4,D7,,D3,2014-07-08,2014-06-23
78,P3,DPBOM000000047,의장,F1,D8,,D1,2014-06-23,2014-05-29
79,P3,DPBOM000000048,공작,F2,D4,,D3,2014-06-30,2014-06-30
80,P3,DPBOM000000049,철의장,F2,D5,,D3,2014-05-05,2014-05-05
81,P3,DPBOM000000050,가공,F2,D2,,D3,2014-06-25,2014-06-25
82,P3,DPBOM000001268,가공,F2,D2,,D3,2014-06-23,2014-06-23
83,P3,DPBOM000001269,가공,F2,D2,,D3,2014-06-02,2014-06-02
85,P3,DPBOM000001271,가공,F4,D7,,D3,2014-06-02,2014-05-29
86,P3,DPBOM000001272,가공,F2,D2,,D3,2014-06-24,2014-06-23
87,P3,DPBOM000001273,가공,F2,D2,,D3,2014-06-24,2014-06-23
88,P3,DPBOM000001274,가공,F2,D2,,D3,2014-06-24,2014-06-23
89,P3,DPBOM000000826,도장,F1,D1,,D1,2014-08-12,2014-07-21
90,P3,DPBOM000000054,가공,F2,D2,,D3,2014-07-13,2014-07-09
91,P3,DPBOM000000055,족장,F3,D3,D6,D4,2014-07-03,2014-05-22
92,P3,DPBOM000000056,재마킹,F4,D6,,D3,2014-07-03,2014-07-03
93,P3,DPBOM000000057,가공,F4,D7,,D3,2014-07-13,2014-07-03
94,P3,DPBOM000000058,의장,F1,D8,,D1,2014-06-26,2014-05-29
95,P3,DPBOM000000059,공작,F2,D4,,D3,2014-07-03,2014-07-03
96,P3,DPBOM000000060,철의장,F2,D5,,D3,2014-05-06,2014-05-05
97,P3,DPBOM000000061,가공,F2,D2,,D3,2014-07-01,2014-06-30
98,P3,DPBOM000001275,가공,F2,D2,,D3,2014-06-26,2014-06-26
99,P3,DPBOM000001276,가공,F2,D2,,D3,2014-06-05,2014-06-05
101,P3,DPBOM000001278,가공,F4,D7,,D3,2014-06-05,2014-06-03
102,P3,DPBOM000001279,가공,F2,D2,,D3,2014-06-30,2014-06-30
103,P3,DPBOM000001280,가공,F2,D2,,D3,2014-06-30,2014-06-30
104,P3,DPBOM000001281,가공,F2,D2,,D3,2014-06-30,2014-06-30
105,P3,DPBOM000001282,가공,F2,D2,,D3,2014-06-30,2014-06-30
106,P3,DPBOM000001283,가공,F2,D2,,D3,2014-06-30,2014-06-30
107,P3,DPBOM000000828,도장,F1,D1,,D1,2014-09-21,2014-07-21
108,P3,DPBOM000000065,가공,F2,D2,,D3,2014-08-12,2014-08-03
109,P3,DPBOM000000066,족장,F3,D3,D6,D4,2014-08-03,2014-05-22
110,P3,DPBOM000000067,재마킹,F4,D6,,D3,2014-08-04,2014-07-13
111,P3,DPBOM000000068,가공,F4,D7,,D3,2014-08-12,2014-07-30
112,P3,DPBOM000000069,의장,F1,D8,,D1,2014-07-28,2014-05-29
113,P3,DPBOM000000070,공작,F2,D4,,D3,2014-08-04,2014-07-28
114,P3,DPBOM000000071,철의장,F2,D5,,D3,2014-06-12,2014-05-22
115,P3,DPBOM000000072,가공,F2,D2,,D3,2014-07-24,2014-07-22
116,P3,DPBOM000001284,가공,F2,D2,,D3,2014-07-22,2014-07-20
117,P3,DPBOM000001285,가공,F2,D2,,D3,2014-07-13,2014-07-09
119,P3,DPBOM000001287,가공,F4,D7,,D3,2014-07-09,2014-06-23
120,P3,DPBOM000001288,가공,F2,D2,,D3,2014-07-23,2014-07-21
121,P3,DPBOM000001289,가공,F2,D2,,D3,2014-07-23,2014-07-21
122,P3,DPBOM000001290,가공,F2,D2,,D3,2014-07-23,2014-07-21
123,P3,DPBOM000001291,가공,F2,D2,,D3,2014-07-23,2014-07-21
124,P3,DPBOM000001292,가공,F2,D2,,D3,2014-07-23,2014-07-21
125,P3,DPBOM000000832,도장,F1,D1,,D1,2014-09-21,2014-07-21
126,P3,DPBOM000000073,가공,F2,D2,,D3,2014-08-05,2014-07-30
127,P3,DPBOM000000074,족장,F3,D3,D6,D4,2014-07-30,2014-05-22
128,P3,DPBOM000000833,재마킹,F4,D6,,D3,2014-08-03,2014-07-13
129,P3,DPBOM000000075,가공,F4,D7,,D3,2014-08-05,2014-07-24
130,P3,DPBOM000000076,의장,F1,D8,,D1,2014-07-24,2014-05-29
131,P3,DPBOM000000077,공작,F2,D4,,D3,2014-08-03,2014-07-24
132,P3,DPBOM000000078,철의장,F2,D5,,D3,2014-06-04,2014-04-09
133,P3,DPBOM000000079,가공,F2,D2,,D3,2014-07-23,2014-07-21
134,P3,DPBOM000000837,가공,F2,D2,,D3,2014-07-21,2014-07-17
