No,D/P&BOM 코드,D/P&BOM 내역,설계기능,협력사,직영책임부서,최종 출도가능일자,출도실적
1,DPBOM000000001,철의장,F1,,D3,2020-08-29,2020-01-30
2,DPBOM000000002,철의장,F1,,D3,2020-08-29,2020-01-30
3,DPBOM000000003,의장(설치),F1,,D3,2020-09-26,2020-09-25
4,DPBOM000000004,의장(설치),F1,,D3,2020-09-26,2020-09-25
5,DPBOM000000005,제작,F2,,D4,2020-10-03,2020-06-11
6,DPBOM000000006,Supp 제작,F2,,D4,2020-10-03,2020-06-11
7,DPBOM000000007,제작,F2,,D4,2020-10-03,2020-06-11
8,DPBOM000000008,Supp 제작,F2,,D4,2020-10-03,2020-06-11
9,DPBOM000000009,제작,F2,,D4,2020-10-05,2020-06-11
10,DPBOM000000010,Supp 제작,F2,,D4,2020-10-05,2020-06-11
11,DPBOM000000011,제작,F2,,D4,2020-10-05,2020-06-11
12,DPBOM000000012,Supp 제작,F2,,D4,2020-10-05,2020-06-11
13,DPBOM000000013,제작,F2,,D4,2020-10-16,2020-06-11
14,DPBOM000000014,Supp 제작,F2,,D4,2020-10-16,2020-06-11
15,DPBOM000000015,제작,F2,,D4,2020-10-16,2020-07-06
16,DPBOM000000016,Supp 제작,F2,,D4,2020-10-16,2020-06-11
17,DPBOM000000017,철의장,F1,,D3,2020-10-19,2019-10-25
18,DPBOM000000018,제작,F2,,D4,2020-10-19,2020-06-11
19,DPBOM000000019,Supp 제작,F2,,D4,2020-10-19,2020-06-11
20,DPBOM000000020,제작,F2,,D4,2020-10-19,2020-06-11
21,DPBOM000000021,Supp 제작,F2,,D4,2020-10-19,2020-06-11
22,DPBOM000000022,제작,F2,,D4,2020-10-19,2020-06-11
23,DPBOM000000023,Supp 제작,F2,,D4,2020-10-19,2020-06-11
24,DPBOM000000024,제작,F2,,D4,2020-10-19,2020-06-11
25,DPBOM000000025,Supp 제작,F2,,D4,2020-10-19,2020-06-11
26,DPBOM000000026,의장(설치),F2,,D4,2020-10-26,2020-10-16
27,DPBOM000000027,의장(설치),F2,,D4,2020-10-26,2020-10-16
28,DPBOM000000028,의장(설치),F2,,D4,2020-10-30,2020-10-26
29,DPBOM000000029,의장(설치),F2,,D4,2020-10-30,2020-10-26
30,DPBOM000000030,철의장,F1,,D3,2020-11-05,2019-10-25
31,DPBOM000000031,의장(설치),F2,,D4,2020-11-08,2020-10-30
32,DPBOM000000032,의장(설치),F2,,D4,2020-11-08,2020-10-30
33,DPBOM000000033,철의장,F1,,D3,2020-11-13,2020-02-29
34,DPBOM000000034,의장(설치),F2,,D4,2020-11-13,2020-10-30
35,DPBOM000000035,의장(설치),F2,,D4,2020-11-13,2020-10-30
36,DPBOM000000036,의장(설치),F2,,D4,2020-11-13,2020-10-30
37,DPBOM000000037,의장(설치),F2,,D4,2020-11-13,2020-10-30
38,DPBOM000000038,제작,F2,,D4,2020-12-04,2020-06-22
39,DPBOM000000039,Supp 제작,F2,,D4,2020-12-04,2020-06-22
40,DPBOM000000040,의장(설치),F1,,D3,2020-12-06,2020-09-25
41,DPBOM000000041,계획,F3,,D5,2020-12-17,2020-08-28
42,DPBOM000000042,제작,F2,,D4,2020-12-20,2020-06-22
43,DPBOM000000043,Supp 제작,F2,,D4,2020-12-20,2020-06-22
44,DPBOM000000044,제작,F2,,D4,2020-12-20,2020-06-11
45,DPBOM000000045,Supp 제작,F2,,D4,2020-12-20,2020-06-11
46,DPBOM000000046,제작,F2,,D4,2020-12-20,2020-06-11
47,DPBOM000000047,Supp 제작,F2,,D4,2020-12-20,2020-06-11
48,DPBOM000000048,제작,F2,,D4,2020-12-20,2020-06-11
49,DPBOM000000049,Supp 제작,F2,,D4,2020-12-20,2020-06-11
50,DPBOM000000050,제작,F2,,D4,2020-12-20,2020-06-11
51,DPBOM000000051,Supp 제작,F2,,D4,2020-12-20,2020-06-11
52,DPBOM000000052,계획,F4,,D6,2020-12-25,2019-09-27
53,DPBOM000000053,계획,F1,,D3,2020-12-25,2019-09-22
54,DPBOM000000054,제작,F3,,D5,2020-12-28,2019-09-27
55,DPBOM000000055,Supp 제작,F3,,D5,2020-12-28,2019-10-02
56,DPBOM000000056,제작,F3,,D5,2020-12-28,2019-09-27
57,DPBOM000000057,Supp 제작,F3,,D5,2020-12-28,2019-10-02
58,DPBOM000000058,제작,F3,,D5,2020-12-28,2019-10-03
59,DPBOM000000059,의장(설치),F2,,D4,2020-12-31,2020-12-27
60,DPBOM000000060,의장,F5,,D7,2020-12-31,2020-12-31
61,DPBOM000000061,계획,F5,,D7,2021-01-02,2019-10-06
62,DPBOM000000062,Supp 제작,F3,,D5,2021-01-03,2020-04-20
63,DPBOM000000063,철의장,F4,,D6,2021-01-03,2020-03-20
64,DPBOM000000064,철의장,F1,,D3,2021-01-04,2019-10-14
65,DPBOM000000065,계획,F1,,D3,2021-01-04,2019-09-22
66,DPBOM000000066,제작,F3,,D5,2021-01-09,2019-09-13
67,DPBOM000000067,Supp 제작,F3,,D5,2021-01-09,2019-09-29
68,DPBOM000000068,제작,F3,,D5,2021-01-09,2019-09-27
69,DPBOM000000069,Supp 제작,F3,,D5,2021-01-09,2019-09-29
70,DPBOM000000070,Supp 제작,F3,,D5,2021-01-09,2019-10-03
71,DPBOM000000071,의장(설치),F2,,D4,2021-01-14,2020-10-30
72,DPBOM000000072,의장(설치),F2,,D4,2021-01-14,2020-10-30
73,DPBOM000000073,의장(설치),F2,,D4,2021-01-14,2020-10-30
74,DPBOM000000074,의장(설치),F2,,D4,2021-01-14,2020-10-30
75,DPBOM000000075,철의장,F1,,D3,2021-01-17,2019-10-12
76,DPBOM000000076,목의,F6,,D8,2021-01-21,2020-02-28
77,DPBOM000000077,계획,F1,,D3,2021-01-22,2019-09-22
78,DPBOM000000078,의장(설치),F3,,D5,2021-01-22,2020-09-20
79,DPBOM000000079,의장(설치),F3,,D5,2021-01-22,2020-11-01
80,DPBOM000000080,의장(설치),F3,,D5,2021-01-22,2020-11-15
81,DPBOM000000081,계획,F4,,D6,2021-01-25,2019-10-26
82,DPBOM000000082,계획,F5,,D7,2021-01-25,2019-10-26
83,DPBOM000000083,계획,F4,,D6,2021-01-25,2019-10-25
84,DPBOM000000084,계획,F3,,D5,2021-01-25,2020-07-10
85,DPBOM000000085,의장(설치),F3,,D5,2021-01-28,2020-08-24
86,DPBOM000000086,계획,F3,,D5,2021-01-29,2020-09-12
87,DPBOM000000087,제작,F2,D1,D4,2021-01-29,2020-06-11
88,DPBOM000000088,Supp 제작,F2,D1,D4,2021-01-29,2020-06-11
89,DPBOM000000089,계획,F5,,D7,2021-01-29,2019-10-25
90,DPBOM000000090,계획,F4,,D6,2021-01-29,2019-10-21
91,DPBOM000000091,계획,F5,,D7,2021-01-29,2019-10-24
92,DPBOM000000092,계획,F4,,D6,2021-01-29,2019-10-21
93,DPBOM000000093,계획,F5,,D7,2021-01-29,2019-10-26
94,DPBOM000000094,계획,F4,,D6,2021-01-29,2019-10-25
95,DPBOM000000095,계획,F1,,D3,2021-01-29,2019-10-21
96,DPBOM000000096,계획,F1,,D3,2021-01-29,2019-09-22
97,DPBOM000000097,제작,F2,D1,D4,2021-01-29,2020-06-11
98,DPBOM000000098,Supp 제작,F2,D1,D4,2021-01-29,2020-06-11
99,DPBOM000000099,제작,F2,D1,D4,2021-01-29,2020-06-11
100,DPBOM000000100,Supp 제작,F2,D1,D4,2021-01-29,2020-06-11
101,DPBOM000000101,의장(설치),F3,,D5,2021-02-01,2020-11-15
102,DPBOM000000102,의장(설치),F3,,D5,2021-02-01,2020-11-15
103,DPBOM000000103,계획,F5,,D7,2021-02-01,2019-10-27
104,DPBOM000000104,계획,F3,,D5,2021-02-01,2020-10-09
105,DPBOM000000105,계획,F4,,D6,2021-02-01,2019-10-28
106,DPBOM000000106,계획,F3,,D5,2021-02-01,2020-08-06
107,DPBOM000000107,계획,F2,,D4,2021-02-01,2019-09-28
108,DPBOM000000108,계획,F4,,D6,2021-02-01,2019-10-28
109,DPBOM000000109,계획,F3,,D5,2021-02-01,2020-08-06
110,DPBOM000000110,철의장,F6,,D8,2021-02-01,2019-09-12
111,DPBOM000000111,철의장,F4,,D6,2021-02-01,2019-10-20
112,DPBOM000000112,제작,F2,,D4,2021-02-01,2019-10-27
113,DPBOM000000113,Supp 제작,F2,,D4,2021-02-01,2019-10-27
114,DPBOM000000114,철의장,F1,,D3,2021-02-01,2019-10-25
115,DPBOM000000115,제작,F2,,D4,2021-02-01,2019-10-27
116,DPBOM000000116,Supp 제작,F2,,D4,2021-02-01,2019-10-27
