등록구분,진행상태,ECN No.,프로젝트,긴급도,중요도,등록일,요청 파트(부서),완료예정일,조치완료일,대책파트/협력사
C8,완료,CH000003205,P2,상,Low,2022-01-28,D41,2020-07-02,2020-07-02,D16
C8,완료,CH000003206,P2,상,Low,2022-01-28,D41,2019-11-24,2019-11-24,D16
C8,완료,CH000003207,P2,상,Low,2022-01-24,D41,,,D16
C1,완료,CH000003208,P2,상,Medium,2021-04-04,D8,2019-10-19,2019-10-19,D88
C2,완료,CH000003209,P2,상,Medium,2019-09-30,D41,2019-09-23,2019-09-23,D41
C10,완료,CH000003210,P2,상,Low,2019-08-31,D49,2019-06-03,2019-06-06,D54
C2,완료,CH000003211,P2,상,Medium,2019-07-22,D41,2019-06-01,2019-06-01,D41
C3,완료,CH000003212,P2,상,Low,2019-07-12,D90,2019-05-05,2019-05-05,D88
C3,완료,CH000003213,P2,상,Low,2019-07-12,D90,2019-04-28,2019-04-28,D88
C8,완료,CH000003214,P2,상,Low,2019-06-21,D22,2019-04-26,2019-04-27,D16
C3,완료,CH000003215,P2,상,Low,2019-06-01,D90,2019-04-11,2019-04-11,D88
C3,완료,CH000003216,P2,상,Low,2019-04-22,D21,2019-04-08,2019-04-08,D90
C3,완료,CH000003217,P2,상,Low,2019-04-14,D21,2019-04-08,2019-04-08,D22
C2,완료,CH000003218,P2,상,Medium,2019-04-14,D21,2019-04-08,2019-04-08,D21
C1,등록취소,CH000003219,P2,상,Medium,2019-03-29,D8,2019-04-08,2019-04-08,D22
C1,등록취소,CH000003220,P2,상,Medium,2019-03-29,D8,2019-04-06,2019-04-06,D22
C1,등록취소,CH000003221,P2,상,Medium,2019-03-28,D8,2019-03-30,2019-03-30,D22
C1,등록취소,CH000003222,P2,상,Medium,2019-03-23,D8,2019-03-25,2019-03-25,D90
C2,완료,CH000003223,P2,상,Medium,2019-03-17,D90,2019-03-25,2019-03-24,D90
C3,완료,CH000003224,P2,상,Low,2019-03-16,D16,2019-03-23,2019-03-23,D88
C2,완료,CH000003225,P2,상,Medium,2019-03-15,D88,2019-03-17,2019-03-17,D88
C1,완료,CH000003226,P2,상,Medium,2019-03-15,D8,2019-03-15,2019-03-22,D42
C3,완료,CH000003227,P2,상,Low,2019-03-14,D16,2019-03-16,2019-03-16,D54
C3,완료,CH000003228,P2,상,Low,2019-03-14,D16,2019-03-11,2019-03-16,D17
C3,완료,CH000003229,P2,상,Low,2019-03-11,D16,2019-03-17,2019-03-18,D23
C3,완료,CH000003230,P2,상,Low,2019-03-11,D16,2019-03-08,2019-03-09,D42
C2,완료,CH000003231,P2,상,Medium,2019-03-10,D16,2019-03-08,2019-03-09,D16
C2,완료,CH000003232,P2,상,Medium,2019-03-09,D22,2019-03-09,2019-03-10,D22
C2,완료,CH000003233,P2,상,Medium,2019-03-09,D22,2019-03-08,2019-03-08,D22
