No,프로젝트번호,출도부서,과제번호,도면명,출도일자,출도번호,근원부서,원인코드,코드명
1,P3,D301,DPT4275,DNAME1835,2019-06-15,DPT427520190615,D301,R17,RNAME14
2,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
3,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
4,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
5,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
6,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
7,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
8,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
9,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
10,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
11,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
12,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
13,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
14,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
15,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
16,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
17,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
18,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
19,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
20,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
21,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
22,P3,D62,DPT4720,DNAME1847,2019-07-05,DPT472020190705,D73,R16,RNAME5
23,P3,D84,DPT4718,DNAME1861,2019-07-15,DPT471820190715,D84,R16,RNAME5
24,P3,D84,DPT4718,DNAME1861,2019-07-15,DPT471820190715,D84,R16,RNAME5
25,P3,D84,DPT4718,DNAME1861,2019-07-15,DPT471820190715,D84,R16,RNAME5
26,P3,D84,DPT4718,DNAME1861,2019-07-15,DPT471820190715,D84,R16,RNAME5
27,P3,D62,DPT4728,DNAME1862,2019-07-26,DPT472820190726,D73,R3,RNAME4
28,P3,D62,DPT4728,DNAME1862,2019-07-26,DPT472820190726,D73,R3,RNAME4
29,P3,D62,DPT4728,DNAME1862,2019-07-26,DPT472820190726,D73,R3,RNAME4
30,P3,D62,DPT4728,DNAME1862,2019-07-26,DPT472820190726,D73,R3,RNAME4
31,P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
32,P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
33,P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
34,P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
35,P3,D301,DPT4275,DNAME1835,2019-07-28,DPT427520190728,D301,R16,RNAME5
36,P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
37,P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
38,P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
39,P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
40,P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
41,P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
42,P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
43,P3,D62,DPT4721,DNAME1837,2019-08-02,DPT472120190802,D84,R3,RNAME4
44,P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
45,P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
46,P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
47,P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
48,P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
49,P3,D62,DPT4225,DNAME1828,2019-08-02,DPT422520190802,D62,R16,RNAME5
